方法,任務,Fold,AUC
MTL,HTN,1,0.7441847517184552
MTL,HTN,2,0.7305815961569585
MTL,HTN,3,0.7442337959365823
MTL,HTN,4,0.6988255317135169
MTL,HTN,5,0.7470543696405765
MTL,HG,1,0.921341928536173
MTL,HG,2,0.937570519633134
MTL,HG,3,0.9266934606045383
MTL,HG,4,0.936040764683787
MTL,HG,5,0.9407818378065909
MTL,DL,1,0.880200906680654
MTL,DL,2,0.8647000428088512
MTL,DL,3,0.8566235385814497
MTL,DL,4,0.8647289250101006
MTL,DL,5,0.8732413404460284
STL,HTN,1,0.7577198552614888
STL,HTN,2,0.7424159156835858
STL,HTN,3,0.752365014284519
STL,HTN,4,0.709366845143931
STL,HTN,5,0.7503849662470352
STL,HG,1,0.9233222154085464
STL,HG,2,0.9374815654071059
STL,HG,3,0.928970480151088
STL,HG,4,0.9360209951960146
STL,HG,5,0.9400931232415197
STL,DL,1,0.8802758389661107
STL,DL,2,0.8657739545045245
STL,DL,3,0.8583445050662509
STL,DL,4,0.863676907732815
STL,DL,5,0.8755316434971006
