特徵,類別,高血壓,高血壓排名,高血糖,高血糖排名,高血脂,高血脂排名
SBP_T1,T1 特徵,0.9243704,1,0.14957754,9,0.05784379,23
SBP_T2,T2 特徵,0.3633655,2,0.057418693,22,0.08510716,19
Delta1_SBP,Δ 變化量,0.224457,3,0.101542786,16,0.16023615,6
GFR_T1,T1 特徵,0.21048294,4,0.1037642,15,0.102255985,16
DBP_T1,T1 特徵,0.13893263,5,0.066009924,21,0.077126555,20
Delta1_GFR,Δ 變化量,0.11373626,6,0.17247376,6,0.202257,4
UA_T2,T2 特徵,0.086272605,7,0.14671084,10,0.12644571,9
Delta1_FBG,Δ 變化量,0.08492579,8,0.25376642,3,0.12959115,8
TC_T1,T1 特徵,0.07793175,9,0.18126982,5,0.8998898,2
Delta1_UA,Δ 變化量,0.0759748,10,0.14611863,11,0.06209034,22
Delta1_BMI,Δ 變化量,0.07501297,11,0.053456053,24,0.12384834,11
Delta1_TC,Δ 變化量,0.073413275,12,0.20397542,4,0.16093804,5
GFR_T2,T2 特徵,0.069493815,13,0.105560854,14,0.11414604,14
FBG_T1,T1 特徵,0.067758895,14,0.8749449,2,0.112713166,15
TC_T2,T2 特徵,0.06638043,15,0.13349561,12,1.4198904,1
DBP_T2,T2 特徵,0.0660281,16,0.07048745,20,0.064724445,21
Delta1_DBP,Δ 變化量,0.06485652,17,0.07879177,17,0.098365195,18
BMI_T2,T2 特徵,0.06441976,18,0.123270646,13,0.10223975,17
FBG_T2,T2 特徵,0.05992737,19,2.3833923,1,0.11839885,13
UA_T1,T1 特徵,0.052738175,20,0.077867456,18,0.15934815,7
Age,人口統計,0.051567696,21,0.17211606,7,0.2365386,3
BMI_T1,T1 特徵,0.036817804,22,0.16609973,8,0.119976394,12
Delta1_Cr,Δ 變化量,0.016585423,23,0.07623728,19,0.041491106,25
Cr_T1,T1 特徵,0.014888029,24,0.02561431,25,0.042715166,24
sex,人口統計,0.011101046,25,0.0062185046,26,0.015650623,26
Cr_T2,T2 特徵,0.010742713,26,0.05455438,23,0.12504704,10
