資料集,疾病,模型,AUC,AUC_std,Sensitivity,Specificity,F1
滑動窗口,高血壓,LR,0.7208543792273756,0.016841236656806036,0.6969885574596033,0.6380464334265963,0.43415881746431395
滑動窗口,高血壓,NB,0.708877790548055,0.02198732712294623,0.3571721256336641,0.8318394775566545,0.3469870727317536
滑動窗口,高血壓,LDA,0.7202344721160132,0.017110934050072666,0.03668624920569605,0.9883961309135458,0.06755459934158708
滑動窗口,高血壓,KNN,0.6296981920421043,0.017678559588239287,0.11559062015846804,0.9464096309176009,0.17234192366381323
滑動窗口,高血壓,DT,0.6578763740347421,0.012212157133529855,0.6461298234418373,0.6289565464209945,0.4042724876961533
滑動窗口,高血壓,RF,0.7433909792093883,0.013087423831332797,0.28644550084480935,0.8902921890061192,0.328185957535372
滑動窗口,高血壓,XGB,0.7384984527162765,0.011919482187525764,0.6775478193153215,0.6762126757896041,0.447127411327865
滑動窗口,高血壓,LGBM,0.730391408253972,0.010922688470377275,0.6012161748592172,0.7174820201529615,0.4320375482441386
滑動窗口,高血壓,SVM,0.7264385523182112,0.011263245312497158,0.7039698231098404,0.6351694857298289,0.4360996221848351
滑動窗口,高血壓,MLP,0.7032934870748949,0.033269344472665684,0.01681466596764782,0.9960439057955212,0.03201399888691629
滑動窗口,高血糖,LR,0.9377602832236887,0.009754885796543331,0.8583133616128134,0.8823861444487415,0.4608214089984485
滑動窗口,高血糖,NB,0.9173084376678438,0.010155862124102818,0.6009695257402493,0.9525005984049081,0.5105369827589102
滑動窗口,高血糖,LDA,0.9363310155864429,0.010714561476179722,0.48392536247626444,0.9801750469735065,0.5360984125255833
滑動窗口,高血糖,KNN,0.7823344167095624,0.019763842111877705,0.22269435939499624,0.9924589355429175,0.33116460638049033
滑動窗口,高血糖,DT,0.8351810539136432,0.013524376584169358,0.762671393164271,0.8874898682763485,0.4307597701505069
滑動窗口,高血糖,RF,0.9320821188933719,0.007927201897190445,0.5513182909782346,0.9654031697721728,0.5246977882858751
滑動窗口,高血糖,XGB,0.9304178340370403,0.013743727690902985,0.7452559195512383,0.9333787963308913,0.5317375447032857
滑動窗口,高血糖,LGBM,0.9257222686554881,0.015497994331670421,0.6459950210353773,0.9535133811201657,0.5416184276813432
滑動窗口,高血糖,SVM,0.9194855455557882,0.0118886138412324,0.721021854135224,0.9222720822696244,0.4879708275115816
滑動窗口,高血糖,MLP,0.9193054373712123,0.020571950344558738,0.30387034290010895,0.9881191634685,0.399027174588242
滑動窗口,高血脂,LR,0.8667141782458361,0.012194396812391133,0.7986832804466862,0.7746643104353902,0.36211546799883
滑動窗口,高血脂,NB,0.847184628087461,0.014837712090766744,0.4160258991879209,0.9408087455565466,0.39564463792428295
滑動窗口,高血脂,LDA,0.8665191830207652,0.011785642274564925,0.11804958299068644,0.9913048551923506,0.1934603052597917
滑動窗口,高血脂,KNN,0.6730505201252617,0.013375952134241394,0.060560037241240226,0.9919671045479636,0.10452178029021916
滑動窗口,高血脂,DT,0.7435574329363739,0.036908839749253075,0.6730301903006114,0.7853607868604008,0.32333125119858214
滑動窗口,高血脂,RF,0.8585744292378561,0.014115466430591429,0.3911903182933321,0.9416619218470853,0.3780147384632507
滑動窗口,高血脂,XGB,0.8571215241507376,0.015703200543011428,0.6760688446300407,0.8440230472049247,0.38823037457374243
滑動窗口,高血脂,LGBM,0.8515169123877728,0.011265037633501587,0.5609504875355704,0.8912120703707573,0.39749153518695135
滑動窗口,高血脂,SVM,0.8453379852759582,0.0122424245484934,0.6950225717082432,0.8207906967739923,0.36809197848386266
滑動窗口,高血脂,MLP,0.7422689275794377,0.1363608819157019,0.06576096615050066,0.9949002864406614,0.10772370659088845
無滑動窗口,高血壓,LR,0.7277549949781537,0.011321666068910318,0.6957916689267514,0.6421115460525554,0.47022633231795563
無滑動窗口,高血壓,NB,0.7146806565782258,0.010275145188749496,0.40373954632461856,0.8131457182620216,0.39104174441597517
無滑動窗口,高血壓,LDA,0.7268633695877961,0.012783431052857803,0.09258191252616271,0.9739912211107127,0.15619001597147766
無滑動窗口,高血壓,KNN,0.6472757160101245,0.015212109476400148,0.18308720636354275,0.932226812533987,0.25686273211083294
無滑動窗口,高血壓,DT,0.645740863869273,0.019326598650339793,0.61917442533129,0.634938518440847,0.42584745877533425
無滑動窗口,高血壓,RF,0.7360071735476442,0.012778572234591766,0.2443294400249474,0.9094017740028144,0.3114645357906224
無滑動窗口,高血壓,XGB,0.726323245580555,0.01631367944171315,0.5974029359419311,0.7160620102060459,0.4594510900511957
無滑動窗口,高血壓,LGBM,0.7230223861904029,0.013681531323766623,0.49520808282758433,0.7729163076067251,0.4311253577582204
無滑動窗口,高血壓,SVM,0.7230041479304246,0.00976230078836745,0.6741896076285496,0.6435285459640221,0.4597167468929017
無滑動窗口,高血壓,MLP,0.7127845554406684,0.017955063868963863,0.09766817218385732,0.9742199637993373,0.16255962439101532
無滑動窗口,高血糖,LR,0.9397149076650042,0.006082844053436206,0.8544531206285593,0.8930433770217109,0.5078719767220596
無滑動窗口,高血糖,NB,0.9166509156807086,0.014736456809821694,0.6277061989342692,0.9533412015502629,0.5487619690562585
無滑動窗口,高血糖,LDA,0.9425512477389228,0.005084212181186209,0.4936252246778562,0.980549025998806,0.555927790030476
無滑動窗口,高血糖,KNN,0.7877783058367079,0.014939422927834364,0.23545198920637517,0.9915019192971559,0.3472779072779073
無滑動窗口,高血糖,DT,0.836494739851091,0.008261963718017431,0.7348073758600074,0.8932232010440092,0.45240752906513776
無滑動窗口,高血糖,RF,0.9269852155354993,0.007577098296014378,0.5509311688960812,0.9703141617825153,0.5591682016674732
無滑動窗口,高血糖,XGB,0.933152107548195,0.007228193634362277,0.6992215062390501,0.9499768866797134,0.5808378102319045
無滑動窗口,高血糖,LGBM,0.9307612999862259,0.0026336778408198825,0.6369558187102047,0.9651785352479777,0.597397095350586
無滑動窗口,高血糖,SVM,0.9192984080322016,0.0069814268493104265,0.7054665581332248,0.933357238279782,0.5327857738090691
無滑動窗口,高血糖,MLP,0.925458420261147,0.0035929792628795498,0.3987303677479116,0.9832245752202192,0.48176504252757874
無滑動窗口,高血脂,LR,0.8790199834977139,0.0058573557601063675,0.8078931302615512,0.7847352844610425,0.45840931894806014
無滑動窗口,高血脂,NB,0.8588715235440734,0.012586266283752768,0.5401892351069983,0.9180537251072121,0.49141823956543107
無滑動窗口,高血脂,LDA,0.878390740734434,0.005509220765263775,0.19423434387250177,0.982924134645215,0.28993888859517536
無滑動窗口,高血脂,KNN,0.7353722222652598,0.01910013422497051,0.12203383057001478,0.985863765302436,0.1955043352413066
無滑動窗口,高血脂,DT,0.7561500810136368,0.022290184910104798,0.6509291256988626,0.8049645716377336,0.40606236381509503
無滑動窗口,高血脂,RF,0.8670907515200005,0.007072126966715405,0.44839255590900323,0.932731837949591,0.45105977474262104
無滑動窗口,高血脂,XGB,0.8542917395624101,0.009507105874350478,0.6145624076216182,0.8706328997269928,0.4633794189540012
無滑動窗口,高血脂,LGBM,0.8528655888326379,0.00894444743649354,0.5378380647130647,0.9154321516072603,0.48529568128557454
無滑動窗口,高血脂,SVM,0.8601127799216698,0.01177670789500448,0.709634402512692,0.8226718066678769,0.45425431017250445
無滑動窗口,高血脂,MLP,0.865403121652039,0.011044985151582103,0.2344869786646102,0.9769703461137367,0.3295086602849151
